name,taxid,preferred name,phylum,class,order,family,genus
Staphylococcus aureus,1280, ,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
Streptococcus pneumoniae,1313, ,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
Escherichia coli,562, ,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
Mycobacterium tuberculosis,1773, ,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium
Acinetobacter baumannii,470, ,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter
Salmonella enterica,28901, ,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella
Pseudomonas aeruginosa,287, ,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Brucella abortus,235, ,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella
Klebsiella pneumoniae,573, ,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
Enterococcus faecalis,1351, ,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
Streptococcus agalactiae,1311, ,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
Enterococcus faecium,1352, ,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
Streptococcus pyogenes,1314, ,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
Vibrio parahaemolyticus,670, ,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
Clostridium difficile,1496,Clostridioides difficile,Bacillota,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Clostridioides
Vibrio cholerae,666, ,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
Neisseria meningitidis,487, ,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria
Leptospira interrogans,173, ,Spirochaetota,Spirochaetia,Leptospirales,Leptospiraceae,Leptospira
Streptococcus mutans,1309, ,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
Burkholderia pseudomallei,28450, ,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
Yersinia pestis,632, ,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia
Bacillus anthracis,1392, ,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
Campylobacter jejuni,197, ,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter
Bordetella bronchiseptica,518, ,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella
Propionibacterium acnes,1747,Cutibacterium acnes,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Cutibacterium
Staphylococcus epidermidis,1282, ,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
Bacillus cereus,1396, ,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
Bacteroides fragilis,817, ,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
Mycobacterium abscessus,36809,Mycobacteroides abscessus,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacteroides
Helicobacter pylori,210, ,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter
Chlamydia trachomatis,813, ,Chlamydiota,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia
Xanthomonas axonopodis,53413, ,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Xanthomonas
Enterobacter cloacae,550, ,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter
Lactobacillus paracasei,1597,Lacticaseibacillus paracasei,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus
Campylobacter coli,195, ,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter
Oenococcus oeni,1247, ,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Oenococcus
Francisella tularensis,263, ,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella
Listeria monocytogenes,1639, ,Bacillota,Bacilli,Bacillales,Listeriaceae,Listeria
Bacillus subtilis,1423, ,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
Pseudomonas syringae,317, ,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Salinispora arenicola,168697, ,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Salinispora
Bifidobacterium longum,216816, ,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
Chlamydia psittaci,83554, ,Chlamydiota,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia
Streptococcus sobrinus,1310, ,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
Mycobacterium avium,1764, ,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium
Haemophilus influenzae,727, ,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus
Rickettsia rickettsii,783, ,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia
Streptococcus suis,1307, ,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
Streptomyces rimosus,1927, ,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces
Kingella kingae,504, ,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Kingella
Bacillus amyloliquefaciens,1390, ,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
Sinorhizobium meliloti,382, ,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Sinorhizobium
Leptospira kirschneri,29507, ,Spirochaetota,Spirochaetia,Leptospirales,Leptospiraceae,Leptospira
Lactobacillus rhamnosus,47715,Lacticaseibacillus rhamnosus,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus
Clostridium botulinum,1491, ,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium
Leptospira santarosai,28183, ,Spirochaetota,Spirochaetia,Leptospirales,Leptospiraceae,Leptospira
Legionella pneumophila,446, ,Pseudomonadota,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella
Serratia marcescens,615, ,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia
Borrelia burgdorferi,139,Borreliella burgdorferi,Spirochaetota,Spirochaetia,Spirochaetales,Borreliaceae,Borreliella
Actinobacillus pleuropneumoniae,715, ,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus
Lactobacillus plantarum,1590,Lactiplantibacillus plantarum,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus
Streptomyces griseus,1911, ,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces
Gallibacterium anatis,750, ,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Gallibacterium
Vibrio cyclitrophicus,47951, ,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
Leptospira borgpetersenii,174, ,Spirochaetota,Spirochaetia,Leptospirales,Leptospiraceae,Leptospira
Lactococcus lactis,1358, ,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
Bordetella holmesii,35814, ,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella
Xanthomonas vasicola,56459, ,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Xanthomonas
Corynebacterium pseudotuberculosis,1719, ,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium
Pasteurella multocida,747, ,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella
Bifidobacterium animalis,28025, ,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
Taylorella equigenitalis,29575, ,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Taylorella
Tropheryma whipplei,2039, ,Actinomycetota,Actinomycetes,Micrococcales,Tropherymataceae,Tropheryma
Bacillus atrophaeus,1452, ,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
Yersinia enterocolitica,630, ,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia
Aggregatibacter actinomycetemcomitans,714, ,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter
Neisseria gonorrhoeae,485, ,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria
Mannheimia haemolytica,75985, ,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia
Salinispora pacifica,351187, ,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Salinispora
Fusobacterium nucleatum,851, ,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium
Borrelia garinii,29519,Borreliella garinii,Spirochaetota,Spirochaetia,Spirochaetales,Borreliaceae,Borreliella
Enterobacter aerogenes,548,Klebsiella aerogenes,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
Lactobacillus iners,147802, ,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
Corynebacterium diphtheriae,1717, ,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium
Geobacillus kaustophilus,1462, ,Bacillota,Bacilli,Bacillales,Anoxybacillaceae,Geobacillus
Bacteroides vulgatus,821,Phocaeicola vulgatus,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola
Parabacteroides distasonis,823, ,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides
Cronobacter sakazakii,28141, ,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter
Bifidobacterium breve,1685, ,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
Xylella fastidiosa,2371, ,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Xylella
Microcystis aeruginosa,1126, ,Cyanobacteriota,Cyanophyceae,Chroococcales,Microcystaceae,Microcystis
Vibrio vulnificus,672, ,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
Bartonella quintana,803, ,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Bartonellaceae,Bartonella
Anaplasma marginale,770, ,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Anaplasma
Lactobacillus helveticus,1587, ,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
Aeromonas hydrophila,644, ,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
Pseudomonas putida,303, ,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Burkholderia cenocepacia,95486, ,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
Flavobacterium psychrophilum,96345, ,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
Fusobacterium necrophorum,859, ,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium
Comamonas testosteroni,285, ,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas
Ralstonia solanacearum,305, ,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia
Bacillus megaterium,1404,Priestia megaterium,Bacillota,Bacilli,Bacillales,Bacillaceae,Priestia
Treponema denticola,158, ,Spirochaetota,Spirochaetia,Spirochaetales,Treponemataceae,Treponema
Rickettsia prowazekii,782, ,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia
Bartonella bacilliformis,774, ,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Bartonellaceae,Bartonella
Treponema pallidum,160, ,Spirochaetota,Spirochaetia,Spirochaetales,Treponemataceae,Treponema
Moraxella catarrhalis,480, ,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Moraxella
Porphyromonas gingivalis,837, ,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas
Erwinia amylovora,552, ,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Erwinia
Klebsiella oxytoca,571, ,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
Elizabethkingia anophelis,1117645, ,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Elizabethkingia
Clostridium perfringens,1502, ,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium
Porphyromonas gulae,111105, ,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas
Mycobacterium intracellulare,1767, ,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium
Vibrio campbellii,680, ,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
Vibrio ordalii,28174, ,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
Chlamydia muridarum,83560, ,Chlamydiota,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia
Haemophilus parasuis,738,Glaesserella parasuis,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Glaesserella
Thermoanaerobacter ethanolicus,1757, ,Bacillota,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter
Acinetobacter lwoffii,28090, ,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter
Pseudomonas fluorescens,294, ,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Mycobacterium leprae,1769, ,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium
Lactobacillus acidophilus,1579, ,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
Salinispora tropica,168695, ,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Salinispora
Coxiella burnetii,777, ,Pseudomonadota,Gammaproteobacteria,Legionellales,Coxiellaceae,Coxiella
Burkholderia thailandensis,57975, ,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
Citrobacter freundii,546, ,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter
Bacillus pumilus,1408, ,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
Lactobacillus delbrueckii,1584, ,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
Lactobacillus crispatus,47770, ,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
Corynebacterium glutamicum,1718, ,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium
Rhodococcus fascians,1828,Rhodococcoides fascians,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Rhodococcoides
Vibrio owensii,696485, ,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
Leptospira noguchii,28182, ,Spirochaetota,Spirochaetia,Leptospirales,Leptospiraceae,Leptospira
Bacillus licheniformis,1402, ,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
Bacteroides ovatus,28116, ,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
Rhodococcus erythropolis,1833, ,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Rhodococcus
Pantoea ananatis,553, ,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea
Streptococcus thermophilus,1308, ,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
Lactobacillus brevis,1580,Levilactobacillus brevis,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus
Pseudomonas monteilii,76759, ,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Streptococcus gallolyticus,315405, ,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
Vibrio jasicida,766224, ,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
Xenorhabdus bovienii,40576, ,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Xenorhabdus
Aeromonas veronii,654, ,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
